VEHICLE NO,LOCATION,NO.OF BINS,IST TRIP,IIND TRIP,IIRD TRIP,REMARKS,Zone,Div,Shift
TN02BU 0433,K.S. NAGAR,5, ,1.45AM, ,NIGHT,3,22,2
TN02 BU 0497,GNT ROAD ,6,06:30PM, , ,NOON,3,23,0
TN02BU 0433,AMBATHUR MAIN ROAD,4, ,2.45AM, ,NIGHT,3,24,0
TN02BU 0433,AMBATHUR REDILLS ROAD,4, ,12.00PM, ,DAY,3,24,1
TN02BU 0433,AMBATHUR REDILLS ROAD,4, ,3.00AM, ,NIGHT,3,24,2
TN02BU 0433,BALAJI NAGAR,1,07:30AM, , ,DAY,3,25,0
TN02BU 0433,BALAJI NAGAR,4,9.55AM, , ,DAY,3,25,1
TN02BU 0484,GNT NROAD,1, ,3.45AM, ,NIGHT,3,25,2
TN02BU 0340,200 FEET ROAD,4, ,01.10 PM, ,DAY,3,26,0
TN02BU 0340,200 FEET ROAD,5, ,11.30AM, ,DAY,3,26,1
TN02BU 0433,200 FEET ROAD,7,9:40PM, , ,NIGHT,3,26,2
TN02BU 0484, EDAIMA LINK RD,3,12.15PM, , ,NIGHT,3,27,0
TN02BU 0340,ALEX NAGAR MAIN RD,3,08:30AM, , ,DAY,3,27,1
TN02BU 0484,ALEX NAGAR MAIN RD,3,11:35PM, , ,NIGHT,3,27,2
TN02BU 0340,MOOLACHATRAM ROAD,2,08:20AM, , ,DAY,3,28,0
TN02BU 0340,MOOLACHATRAM ROAD,2,08:20AM, , ,DAY,3,28,1
TN02BU 0484,MOOLACHATRAM ROAD,5,12.20PM, , ,NIGHT,3,28,2
TN02BU 0484,DEVARAJ STREET,1, ,1.50AM, ,NIGHT,3,29,0
TN02BU 0340,PARTHA SARATHY STREET,5,07:15AM, , ,DAY,3,29,1
TN02BU 0484,PARTHA SARATHY STREET,3, ,1.30AM, ,NIGHT,3,29,2
TN02BU 0484,MILK COLONY ROAD,1,11:25PM, , ,NIGHT,3,30,0
TN02BO 0497,MRH ROAD,5, ,11:40AM, ,DAY,3,30,1
TN02BU 0484,MRH ROAD,5,9:45PM, , ,NIGHT,3,30,2
TN02BO 0497,K.K.R GARDEN 2ND MAIN ROAD,6, ,01:45PM, ,DAY,3,31,0
TN02BO 0497,K.K.R GARDEN 2ND MAIN ROAD,6, ,01:45PM, ,DAY,3,31,1
TN02BU 0484,K.K.R NAGAR 1ST MAIN ROAD,5,11:00PM, , ,NIGHT,3,31,2
TN02BO 0497,KADPPA MAIN ROAD,2,10:00AM, , ,DAY,3,32,0
TN02BO 0497,KADPPA MAIN ROAD,2,10:00AM, , ,DAY,3,32,1
TN02BU 0433,TEACHER COLONY VV NAGAR,4,11.50PM, , ,NIGHT,3,32,2
TN02BO 0497,80 FEET ROAD,6,11.15AM, , ,DAY,3,33,0
TN02BO 0497,80 FEET ROAD,7,11.20AM, , ,DAY,3,33,1
TN02BU 0484,80 FEET ROAD,7, ,2.30AM, ,NIGHT,3,33,2
TN 04 AV 6403 ,ARUL NAGAR MAIN ROAD,2,7.30 AM, , ,DAY,4,34,0
TN 04 AY 7304 ,ARUL NAGAR MAIN ROAD,2, ,9.30 AM, ,DAY,4,34,1
TN 22 CH 8343 ,KMA GARDEN,4, ,1.00 AM, ,NIGHT,4,34,2
TN 04 AC 6197 ,ANNA SALAI 1ST CROSS STREET,1,8.30 AM, , ,DAY,4,35,0
TN 04 AC 6197 ,ANNA SALAI 1ST CROSS STREET,1,8.30 AM, , ,DAY,4,35,1
TN 04 AC 6197 ,KAMARAJAR SALAI,10, ,11.30 PM, ,NIGHT,4,35,2
TN 22 CH 8343 ,APPAR STREET,1,9.50 AM, , , ,4,36,0
TN 04 AY 6422 ,EH ROAD ( CPS SCHOOL ),1,10.10.PM, , ,NIGHT,4,36,2
TN 04 AQ 6415 ,4TH CROSS STREET NEAR AUTO STAND,1,2.05 PM, , ,AFTERNOON,4,37,0
TN 04 AV 6403 ,4TH CROSS STREET NEAR DIVISION OFFICE,2,7.40 AM, , ,DAY,4,37,1
TN 04 AQ 6422 ,MEENAMBAL SALAI,3, ,12.50 AM, ,NIGHT,4,37,2
TN 04 AQ 4288 ,DURGADEVI NAGAR 6TH CROSS,1,9.30 AM, , ,DAY,4,38,0
